ID_Analisis,Titulo_Analisis,Fecha_Analisis,Sentimiento_Global,ID_Opinion,Contenido,Origen,Metadata_Externa,Fecha_Opinion
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","0d329d33-94a0-4ed6-a4d1-7c39de8a0b02","Intenté ponerme en contacto con el soporte técnico y nadie responde al teléfono ni a los correos.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","17580f75-2162-4395-a82c-acbc89fd2228","Demasiado ruido en el salón, era imposible mantener una conversación tranquila sin gritar.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","2dacfa11-91ba-4a61-8cfc-e35f44834864","Funciona bien la mayor parte del tiempo, aunque a veces la aplicación tarda en cargar.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","31efa719-f457-4da9-ae61-1890ac26d10f","Me encantó el ambiente del local, la decoración es preciosa y la música muy agradable.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","3b9ce079-1497-46d4-847e-766303cbcb9e","Los materiales del producto se sienten muy premium y duraderos. Vale cada céntimo.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","40ee687c-bd02-4528-aa04-f7fdb0cf7054","Llevo usando este servicio tres meses y no he tenido ni un solo problema. Un acierto.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","4332f509-d32d-4dc0-b633-f26055e043ae","La atención al cliente es espectacular, resolvieron mi problema en cinco minutos.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","49066ac5-978b-4550-b138-781d767dd45d","La comida estaba buena, pero el local es demasiado pequeño y las mesas están muy juntas.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","4adbf732-5166-4273-a805-69982c577828","El servicio es normal, nada fuera de lo común. Ni muy rápido ni muy lento.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","5266c55c-33e5-417c-8c47-a3cfc2ade5e2","El camarero que nos atendió fue muy antipático e ignoró nuestras llamadas varias veces.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","5570e7b9-84a8-4572-b062-fbd71a108b55","El personal de recepción fue extremadamente amable y servicial durante toda nuestra estancia.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","5deddff8-5cb4-4c34-8e0e-1f0c11bfb920","El proceso de compra en la web fue sencillísimo y el envío gratuito. De diez.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","756bc2e7-0dda-4fa1-87ba-998471035b01","Los precios me parecieron un poco caros, aunque la calidad del servicio es aceptable.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","8334c3a4-46df-42b4-882e-a0b244eed5f5","Tardaron más de una hora en servirnos los platos principales y llegaron fríos.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","9be2e5cb-fadd-4356-9df3-5b08b4f4e286","La calidad de los materiales es pésima, se rompió al segundo día de uso. No lo compréis.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","ba281086-afe8-4a32-9618-da31a58d4ac0","El producto no coincide con la descripción de las fotos y el plástico se siente de mala calidad.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","c14ea295-d6e5-4033-92e7-224ccd027ac2","La comida estaba deliciosa y el servicio fue súper rápido. Volveremos seguro.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","c3bee4c5-f237-46de-a4c5-8526166b0a70","Una decepción absoluta. Pagamos un precio muy alto para un servicio mediocre.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","c3cbc3f1-b610-4f73-ae99-300fe4f1952c","Una experiencia fantástica de principio a fin. El postre de chocolate es obligatorio.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","c67a15d0-2d86-4176-974b-4d5d06f29f0c","Excelente relación calidad-precio. Superó mis expectativas por completo.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","cebf1af3-0d25-41bf-b343-e0c5007946eb","El producto llegó un día antes de lo esperado y funciona de maravilla. Muy recomendado.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","d815d8f3-4a16-4dac-a167-a24e9d607335","El producto cumple su función básica, pero no destaca en nada en comparación con otros.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","d88bf961-cdfa-4724-870f-c6fa768b8c1f","El envío se retrasó dos semanas y el paquete llegó dañado por una esquina.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","da088783-da3a-47f3-96fc-a6bd22f2e685","El diseño es bonito y moderno, pero el tamaño es más pequeño de lo que imaginaba.","MANUAL","","2026-06-17 17:48:44"
"aad21790-fc34-4133-81c5-3e84548dc1cd","testeando nuevamente","2026-06-17 17:48:44","POSITIVE","e79ca5f4-52a4-4aaa-9831-d1d74b1e78b6","La atención fue correcta y educada, aunque tuvimos que esperar un poco para que nos dieran mesa.","MANUAL","","2026-06-17 17:48:44"
